Geração 131: Fitnesse Médio= 31665.8961, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 132: Fitnesse Médio= 31699.6088, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 133: Fitnesse Médio= 31647.1827, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 134: Fitnesse Médio= 31923.8251, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 135: Fitnesse Médio= 31913.1473, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 136: Fitnesse Médio= 31545.8777, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 137: Fitnesse Médio= 31767.4066, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 138: Fitnesse Médio= 31733.6998, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 139: Fitnesse Médio= 31848.7395, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 140: Fitnesse Médio= 31593.1545, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 141: Fitnesse Médio= 31952.4863, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 142: Fitnesse Médio= 31614.5575, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 143: Fitnesse Médio= 31751.0227, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 144: Fitnesse Médio= 31816.0783, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 145: Fitnesse Médio= 31680.2901, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 146: Fitnesse Médio= 32037.5455, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 147: Fitnesse Médio= 31955.3594, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 148: Fitnesse Médio= 32096.3492, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 149: Fitnesse Médio= 31794.8328, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 150: Fitnesse Médio= 31715.6789, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 151: Fitnesse Médio= 31619.5239, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 152: Fitnesse Médio= 31501.1091, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 153: Fitnesse Médio= 31431.7969, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 154: Fitnesse Médio= 31448.6870, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 155: Fitnesse Médio= 31552.6536, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 156: Fitnesse Médio= 31741.4458, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 157: Fitnesse Médio= 31748.1508, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 158: Fitnesse Médio= 31934.2118, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 159: Fitnesse Médio= 31608.5100, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 160: Fitnesse Médio= 31371.8030, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 161: Fitnesse Médio= 31928.5414, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 162: Fitnesse Médio= 32063.1890, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 163: Fitnesse Médio= 31960.0671, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 164: Fitnesse Médio= 31937.8408, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 165: Fitnesse Médio= 31480.2874, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 166: Fitnesse Médio= 31732.1334, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
